pH,MateriaOrganica,N,P,K,Humedad,Fertilidad
5.99816047538945,7.311994144749903,7.842494664273423,23.982966730040793,67.30181766020607,14.091431424792741,Baja
8.302857225639665,2.296714180002293,34.224504736248136,18.076914742866734,98.00529492894842,42.894124326471626,Baja
7.42797576724562,1.5867115406841732,34.73493168855586,14.45399424966836,69.56293559748912,31.969781857499626,Media
6.894633936788146,4.170895702081722,40.058644582401364,27.47156839755787,44.83670945197557,21.721696512998015,Alta
5.124074561769746,7.892378405829505,44.935023354746384,6.002332022266087,53.77804390816823,14.874522543218553,Baja
5.123978081344811,2.3154145363362533,58.6718643704394,16.300877815853198,149.01805504916322,37.790881624460354,Media
4.732334448672798,5.5410166055440895,33.396519156565745,3.3065484087203147,77.7734411536219,31.702546457497974,Media
7.96470458309974,6.212147114965382,22.76260601176853,15.653837333841409,121.99556109346113,28.671138219171254,Media
6.904460046972835,2.2822815799429974,48.7352407122787,4.520188443409609,160.95683583935994,41.28624040678352,Media
7.332290311184182,5.961622614588947,19.89577381941408,6.208083739237942,213.3105520162223,37.60090239285857,Media
4.58233797718321,3.258373495394399,29.143428138809988,6.173208662981832,31.007399155507702,15.308620790646291,Baja
8.379639408647977,5.242293729451846,9.315100973824627,20.528678157133715,243.83491169453194,20.91027237284419,Media
7.829770563201687,5.25147283070671,6.394290887850163,23.14321174016643,195.81210905745417,18.6971198935063,Media
5.349356442713105,4.518310130560689,57.94566280728588,18.75095665762331,42.892528945684134,36.038120240043696,Media
5.2272998688284025,1.1771732754080624,50.97890662817132,28.978658808812632,264.60201474989765,11.173635215752277,Media
5.233618039413735,6.764768716919285,43.27858133515339,13.12150564714001,277.8442721489077,29.94613897049608,Media
5.716968971838151,2.905850487288019,27.492411942784845,10.71422632961024,37.10182875936185,36.68605400092417,Baja
6.599025726528952,1.8988888279989067,14.531187603896518,26.452176461115428,97.52574148121704,40.68679728666123,Baja
6.227780074568463,0.8058135616607294,13.604037346909733,9.03708764002522,245.73635834205717,21.97286120505676,Media
5.664916560792168,4.931697073911813,18.763359399052742,29.007008564896505,229.51271330742435,38.744005663520454,Media
6.947411578889518,5.581732713817118,35.20746655883663,3.3281708166250414,71.66588541978565,13.872110793432253,Media
5.057975442608168,0.6244087169589212,44.30277574850343,29.186728321106255,78.61781053427889,39.62583021070814,Baja
5.668578594140873,4.340697937244608,41.31085571947522,4.165317622665555,123.73218878158696,14.462103181619383,Media
5.965447373174767,2.1987183139845348,20.396364332026856,27.06086406984792,155.66643585348598,23.905055169612854,Media
6.324279936868144,5.338795928070874,57.51759043647567,17.247929945330096,193.11133602848287,37.90533780228438,Media
7.640703845572054,1.8077482175374358,45.58433041826727,29.810049495221108,123.29581907953627,15.247109957207083,Media
5.2986951286334385,5.6820330357684945,35.48947288812704,4.9925072478557695,149.5097205172814,18.02379883314245,Media
6.556937753654447,3.4005150972540306,38.644641042889376,17.95406567883566,229.29186267745183,35.27883989375732,Media
6.86965827544817,7.525474915525509,28.078003433528444,29.171168461715673,30.271296809367414,35.2012787791126,Media
4.685801650879991,1.5314070810949494,18.625204422563662,17.123641792594018,90.6823444163258,32.4401671509854,Baja
6.9301794076057535,3.0579976328769387,24.578497325819388,19.99376322965209,219.7378840476747,34.2881955563485,Media
5.182096494749166,1.351051409304418,46.6815360755403,21.785214602584663,270.65791455241583,28.995355517165866,Media
4.760206371941118,7.435202137089221,5.791641874636573,15.272608748729876,163.2696837923865,18.812967061743347,Baja
8.295542149013333,7.080045150357358,11.383995227880394,19.944068162269712,168.99177587428838,22.09935977263718,Media
8.362528132298237,2.4345622078636673,7.530145311196401,18.776486421923707,50.0081631751373,16.3559200880499,Baja
7.733589392465845,5.449880345256343,7.240084127543358,27.331266283256703,145.2754627105673,41.79576964667699,Media
5.718455076693482,6.629166501509118,52.0503321206054,4.227052269219362,169.1328346074065,30.418712816814217,Media
4.8906884560255355,4.664006086995967,43.7011822659013,10.58600611899022,87.8917410177243,24.029799586727396,Media
7.236932106048627,4.4723793376700485,31.079560599802885,28.661110070067085,95.38810466582667,26.170203127544642,Alta
6.260609974958405,2.3138921817533875,10.380878835805081,27.03712216505474,125.63956566929434,43.15491688641354,Media
4.988152939379115,1.198270758544244,32.03887313142578,15.302732325214249,25.619935377763383,15.367299109062806,Baja
6.480707640445081,7.229118184649951,31.040947392931113,19.74358014064149,110.18216636328992,30.518044120587902,Alta
4.637554084460874,7.2531354287249785,14.526102845050834,10.489291940490581,79.2054419590325,27.70610376095631,Baja
8.137281608315128,5.2482609295495095,28.86184070808852,8.079271312541556,111.6992586098161,31.400898240212673,Media
5.535119926400068,3.0427234328652553,26.917760391855538,15.519856933379518,53.53339690939034,10.633856433729418,Baja
